window_index,log_likelihood
993,-19.639164317833053
994,-20.417817108940596
995,-19.5732660946309
996,-24.3683612995771
997,-18.436885889366014
998,-21.30978082361282
999,-15.066025499045608
1000,-31.241880096702996
1001,-37.55747322951996
1002,-37.55747322951996
1003,-16.483877379521637
1004,-22.572917145046233
1005,-22.281343220356646
1006,-21.03592005005359
1007,-26.761507471871898
1008,-23.569689479852446
1009,-24.060782259969084
1010,-25.160216636382643
1011,-24.303207061637284
1012,-24.060782259969084
1013,-16.483877379521637
1014,-19.008591898688575
1015,-25.12981573810809
1016,-25.05038935740052
1017,-25.05038935740052
1018,-25.086469741184228
1019,-25.086469741184228
1020,-25.086469741184228
1021,-25.086469741184228
1022,-25.14640604364923
1023,-25.086469741184228
1024,-25.086469741184228
1025,-25.086469741184228
1026,-36.11966595514274
1027,-20.417817108940596
1028,-15.425247479989538
1029,-14.490737227723738
1030,-14.157622321775925
1031,-17.492260412504226
1032,-24.658006251959918
1033,-26.318904094078135
1034,-25.182700513352593
1035,-34.6356404020827
1036,-25.086469741184228
1037,-25.05038935740052
1038,-25.14640604364923
1039,-25.14640604364923
1040,-25.14640604364923
1041,-24.82581642175234
1042,-25.05038935740052
1043,-25.05038935740052
1044,-25.05038935740052
1045,-25.05038935740052
1046,-25.05038935740052
1047,-25.05038935740052
1048,-25.088076406847396
1049,-25.088076406847396
1050,-25.088076406847396
1051,-25.05038935740052
1052,-37.75376458157712
1053,-36.792608645291686
1054,-24.33671295252711
1055,-26.03695321104539
1056,-21.730864810105356
1057,-17.934863617664906
1058,-21.215733351537324
1059,-25.888988928248825
1060,-18.41131006573199
1061,-18.41131006573199
1062,-18.41131006573199
1063,-24.32112299999873
1064,-21.730864810105356
1065,-26.886577620617633
1066,-28.566520152174583
1067,-18.534282492996127
1068,-17.934863617664906
1069,-38.48442587055692
1070,-28.881192879861114
1071,-32.91173279174515
1072,-22.45077984621871
1073,-18.759925427646525
1074,-15.897454160765852
1075,-15.242866521094296
1076,-22.214749607745745
1077,-17.102883088894465
1078,-15.813345556550887
1079,-20.773039795785184
1080,-41.29012244012493
1081,-34.11424376541385
1082,-10.503599415036332
1083,-44.969523334504686
1084,-13.467512169336157
1085,-20.620711935748403
1086,-21.174288985357496
1087,-17.934863617664906
1088,-10.563250968823937
1089,-10.563250968823937
1090,-26.112587894771266
1091,-18.738530303131345
1092,-25.18341981633792
1093,-29.558687473714347
1094,-24.00516592733758
1095,-32.4210413207758
1096,-32.18973739721623
1097,-32.207679076346395
1098,-20.948017678986602
1099,-18.555827293918743
1100,-21.30978082361282
1101,-16.3968239197221
1102,-19.607545915584424
1103,-18.727426373098854
1104,-37.4057461211301
1105,-19.700001379395115
1106,-19.418866253208872
1107,-20.759302350664846
1108,-19.650342004940967
1109,-19.76149260352644
1110,-18.727426373098854
1111,-27.01167537702384
1112,-22.934902806924782
1113,-18.99249629626973
1114,-26.001115445425466
1115,-20.474953546787994
1116,-29.364669896144363
1117,-23.396983660493884
1118,-15.618490910823112
1119,-22.3193793915883
1120,-32.49084924001978
1121,-30.694733466797967
1122,-23.89953078051834
1123,-30.996386037188106
1124,-21.287038358134797
1125,-19.2033570308309
1126,-23.18348492118959
1127,-21.40398847753148
1128,-21.27897800701908
1129,-21.287038358134797
1130,-27.853206699388995
1131,-18.473888045338043
1132,-21.58510191151948
1133,-21.3105339878993
1134,-24.983003619554015
1135,-17.596719622467887
1136,-18.27331193722125
1137,-9.9791086103912
1138,-14.738941564558337
1139,-14.552208947046635
1140,-15.652351653022192
1141,-20.55815037797707
1142,-25.728165891796746
1143,-28.696820111589783
1144,-24.978952220461586
1145,-30.653761097518938
1146,-28.92996299853059
1147,-19.43384116461841
1148,-33.92857705537447
1149,-26.162999330101293
1150,-36.119612584804266
1151,-13.467512169336157
1152,-9.9791086103912
1153,-13.467512169336157
1154,-13.467512169336157
1155,-13.467512169336157
1156,-13.467512169336157
1157,-17.32329845061794
1158,-26.656066791707183
1159,-26.58943917527723
1160,-26.656066791707183
1161,-26.656066791707183
1162,-26.656066791707183
1163,-26.656066791707183
1164,-26.656066791707183
1165,-26.58943917527723
1166,-26.58943917527723
1167,-26.58943917527723
1168,-22.858082134487372
1169,-20.417817108940596
1170,-18.928533505407902
1171,-22.281343220356646
1172,-26.489154201558918
1173,-31.420503139164957
1174,-14.738941564558337
1175,-22.287242766839913
1176,-20.29181682056388
1177,-14.52500505087805
1178,-29.015241845655385
1179,-23.751485151596228
1180,-39.8452883128791
1181,-29.439579413891863
1182,-9.9791086103912
1183,-13.467512169336157
1184,-13.467512169336157
1185,-13.467512169336157
1186,-13.467512169336157
1187,-24.272004899836926
1188,-27.68189458366315
1189,-27.00499412359706
1190,-26.675774474588316
1191,-26.23998344341892
1192,-23.54676191176267
1193,-26.911500318832257
1194,-24.272004899836926
1195,-28.052694362861395
1196,-26.598085660606667
1197,-29.019206070983294
1198,-12.482610804530488
1199,-12.483499743256024
1200,-12.483196259829244
1201,-11.990358506285814
1202,-21.284911731269176
1203,-34.379114945645924
1204,-31.013261321921558
1205,-19.537996133685994
1206,-23.060075463413277
1207,-20.697493579152574
1208,-14.254714463523188
1209,-17.16386941418757
1210,-17.153884948025887
1211,-17.153884948025887
1212,-16.189796165364687
1213,-27.12755166046492
1214,-22.583490961672954
1215,-22.857860986877302
1216,-34.02428517508816
1217,-9.9791086103912
1218,-9.9791086103912
1219,-9.9791086103912
1220,-10.502233427533625
1221,-9.9791086103912
1222,-25.930810168879688
1223,-9.9791086103912
1224,-32.34340186425058
1225,-30.70693722534964
1226,-30.83931367980111
1227,-20.231934002948098
1228,-22.61616994566435
1229,-20.92431870638966
1230,-9.9791086103912
1231,-16.513541212479513
1232,-13.467512169336157
1233,-26.99955706706594
1234,-23.837687607370277
1235,-28.02349480281394
1236,-9.9791086103912
1237,-9.9791086103912
1238,-17.993980677584478
1239,-20.532926758771307
1240,-17.934863617664906
1241,-33.2449877504945
1242,-33.215197103949166
1243,-34.05638638144005
