window_index,log_likelihood
510,-0.8645877838134766
511,-2.658679246902466
512,-0.3062519431114197
513,-0.48641908168792725
514,-4.010418891906738
515,-2.045436143875122
516,-6.117940902709961
517,-0.06905525922775269
518,-0.5225811004638672
519,-0.5513579845428467
520,-1.3190490007400513
521,-2.256253480911255
522,-2.5400731563568115
523,-3.1636106967926025
524,-4.448320388793945
525,-3.452035903930664
526,-3.9109232425689697
527,-2.2715160846710205
528,-2.621673583984375
529,-3.29874587059021
530,-0.7185119986534119
531,-3.8962180614471436
532,-0.35205817222595215
533,-2.48234486579895
534,-1.4726791381835938
535,-1.9082897901535034
536,-4.195805072784424
537,-0.06905525922775269
538,-2.352797746658325
539,-0.9265157580375671
540,-0.8607462048530579
541,-0.9265157580375671
542,-1.7972373962402344
543,-1.4506067037582397
544,-1.2479894161224365
545,-3.4039363861083984
546,-1.2768322229385376
547,-1.1480742692947388
548,-2.7380316257476807
549,-2.1089184284210205
550,-0.2846386432647705
551,-0.45090213418006897
552,-0.45090213418006897
553,-1.324607491493225
554,-0.40151843428611755
555,-5.165467739105225
556,-2.927750825881958
557,-0.6487951874732971
558,-3.056391954421997
559,-0.8163797855377197
560,-1.1677852869033813
561,-0.43553224205970764
562,-0.3933280408382416
563,-0.07410723716020584
564,-0.07410723716020584
565,-1.187195897102356
566,-0.3933280408382416
567,-1.1677852869033813
568,-1.1677852869033813
569,-1.1677852869033813
570,-0.07410723716020584
571,-0.3852473795413971
572,-0.07410723716020584
573,-0.3933280408382416
574,-0.07410723716020584
575,-0.389105886220932
576,-0.389105886220932
577,-0.16349922120571136
578,-1.040368914604187
579,-1.7121518850326538
580,-1.2802634239196777
581,-1.639593243598938
582,-1.7824797630310059
583,-1.886008858680725
584,-0.34858694672584534
585,-0.9856427311897278
586,-0.40151843428611755
587,-3.608684539794922
588,-3.359853982925415
589,-1.510398268699646
590,-2.2070531845092773
591,-0.3313184082508087
592,-0.8645877838134766
593,-4.2269673347473145
594,-0.5385991930961609
595,-1.4327245950698853
596,-2.5214614868164062
597,-2.1709272861480713
598,-1.6337922811508179
599,-1.5146470069885254
600,-3.198047637939453
601,-1.1677852869033813
602,-1.1677852869033813
603,-1.1677852869033813
604,-1.1677852869033813
605,-1.1677852869033813
606,-1.1677852869033813
607,-1.1677852869033813
608,-1.1677852869033813
609,-1.1677852869033813
610,-1.1677852869033813
611,-1.1677852869033813
612,-1.1677852869033813
613,-1.1677852869033813
614,-0.07410723716020584
615,-0.3933280408382416
616,-0.43553224205970764
617,-2.662527322769165
618,-2.5343286991119385
619,-2.2352020740509033
620,-2.5199832916259766
621,-0.2846386432647705
622,-1.2536460161209106
623,-1.9244133234024048
624,-1.5547677278518677
625,-1.401029109954834
626,-0.5513579845428467
627,-1.617762565612793
628,-1.863453984260559
629,-0.29801633954048157
630,-1.6687332391738892
631,-2.373274803161621
632,-0.29801633954048157
633,-1.2715193033218384
634,-2.324099540710449
635,-1.8681033849716187
636,-1.726608395576477
637,-1.1020820140838623
638,-1.239751935005188
639,-0.3551432192325592
640,-0.3062519431114197
